,Rank,Name,Link,Brand channel,Subscribers (millions),Primary language,Category,Country
0,1,T-Series,Link,Yes,238,Hindi[7][8],Music,India
,Rank,Cocomelon,Link,Yes,155,English,Education,United States
0,1,Sony Entertainment Television India,Link,Yes,153,Hindi[9],Entertainment,India
,Rank,MrBeast,Link,No,137,English,Entertainment,United States
,Rank,PewDiePie,Link,No,111,English,Games,Sweden
0,1,Kids Diana Show,Link,Yes,109,English[10][11][12],Entertainment,Ukraine
,Rank,Like Nastya,Link,No,105,English,Entertainment,United States
0,1,Vlad and Niki,Link,No,94.9,English,Entertainment,Russia
,Rank,WWE,Link,Yes,93.8,English,Sports,United States
,Rank,Zee Music Company,Link,Yes,93.4,Hindi[13][14],Music,India
0,1,Blackpink,Link,Yes,84.8,Korean,Music,South Korea
,Rank,Goldmines,Link,Yes,83.3,Hindi,Film,India
0,1,5-Minute Crafts,Link,Yes,79.2,English,How-to,Cyprus[a]
,Rank,Sony SAB,Link,Yes,78.2,Hindi,Entertainment,India
,Rank,BangtanTV,Link,No,73.9,Korean,Music,South Korea
0,1,Justin Bieber,Link,No,71.1,English,Music,Canada
,Rank,Hybe Labels,Link,Yes,69.5,Korean,Music,South Korea
0,1,Canal KondZilla,Link,Yes,66.4,Portuguese,Music,Brazil
,Rank,Zee TV,Link,Yes,66.3,Hindi,Entertainment,India
,Rank,Pinkfong,Link,Yes,66.1,English,Education,South Korea
0,1,Shemaroo Entertainment,Link,Yes,64.2,Hindi,Music,India
,Rank,ChuChu TV,Link,Yes,63.2,Hindi[16],Education,India
0,1,Colors TV,Link,Yes,60.6,Hindi,Entertainment,India
,Rank,Dude Perfect,Link,No,59,English,Sports,United States
,Rank,Movieclips,Link,Yes,58.8,English,Film,United States
0,1,T-Series Bhakti Sagar,Link,Yes,58.4,Hindi,Music,India
,Rank,Tips Industries,Link,Yes,57.3,Hindi,Entertainment,India
0,1,Wave Music,Link,Yes,56.6,Bhojpuri,Music,India
,Rank,Marshmello,Link,No,56.2,English,Music,United States
,Rank,Sony Music India,Link,Yes,56.1,Hindi,Music,India
0,1,El Reino Infantil,Link,Yes,56,Spanish,Music,Argentina
,Rank,Aaj Tak,Link,Yes,55.9,Hindi,News,India
0,1,Eminem,Link,No,55.6,English,Music,United States
,Rank,LooLoo Kids,Link,Yes,53.1,English,Music,Romania
,Rank,Ed Sheeran,Link,No,53,English,Music,United Kingdom
0,1,Yash Raj Films,Link,Yes,52.7,Hindi,Music,India
,Rank,Ariana Grande,Link,No,52.4,English,Music,United States
0,1,Taylor Swift,Link,No,51.1,English,Music,United States
,Rank,BillionSurpriseToys,Link,Yes,50.6,English,Entertainment,United States
,Rank,Infobells,Link,Yes,49.8,Hindi,Education,India
0,1,JuegaGerman,Link,No,47.6,Spanish,Games,Chile
,Rank,Billie Eilish,Link,No,47.4,English,Music,United States
0,1,Badabun,Link,Yes,46.5,Spanish,Entertainment,Mexico
,Rank,Fernanfloo,Link,No,45.7,Spanish,Games,El Salvador
,Rank,Bad Bunny,Link,No,45.4,Spanish,Music,United States ( Puerto Rico)
0,1,SonyMusicIndiaVEVO,Link,Yes,45.4,Hindi,Music,India
,Rank,Shemaroo,Link,Yes,45.2,Hindi,Entertainment,India
0,1,Get Movies,Link,Yes,45,Russian,Entertainment,Russia
,Rank,Felipe Neto,Link,No,44.9,Portuguese,Entertainment,Brazil
,Rank,A4,Link,No,44.6,Russian,Entertainment,Belarus
0,1,"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC"
